sseqid,Feature,Type,Description
human_HEK293,Human codon optimization,misc_feature,Codon optimization profile for Homo sapiens expression in HEK293-derived cell lines.
mouse_CHO,CHO codon optimization,misc_feature,Codon optimization profile for Cricetulus griseus and CHO production hosts.
bacteria_EcoliK12,E. coli K-12 codon optimization,misc_feature,Codon usage profile tuned for Escherichia coli K-12 laboratory strains.
bacteria_EcoliBL21,E. coli BL21 codon optimization,misc_feature,Codon usage profile tuned for BL21(DE3) high-level bacterial expression.
yeast_Scerevisiae,S. cerevisiae codon optimization,misc_feature,Codon optimization profile for budding yeast expression systems.
yeast_Ppastoris,P. pastoris codon optimization,misc_feature,Codon optimization profile for Komagataella phaffii methanol-inducible expression.
insect_Sf9,Sf9 codon optimization,misc_feature,Codon usage profile for Spodoptera frugiperda Sf9 baculovirus expression systems.
plant_Arabidopsis,Arabidopsis codon optimization,misc_feature,Codon optimization profile for Arabidopsis thaliana transient and stable expression.
plant_Nicotiana,Nicotiana codon optimization,misc_feature,Codon profile for Nicotiana benthamiana transient agroinfiltration workflows.
zebrafish_Drerio,Zebrafish codon optimization,misc_feature,Codon optimization profile for Danio rerio expression contexts.
